,structure,GH,ads-bandcenter,Lads-H,Nval,EI,EA,Enads,CN,Lpa,LPb,Ssur,Lau-H,Cads,Pstr,CAX,CAY,CAZ-M,Cads-val,deltaEA,Erel
0,0-MoSe-Au-1,1.29905127,-2.528139465,2.099233333,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,5.393925911,6.255869333,0,8.213702897,0.549675637,2.696283624,2.255869333,1.275,0.96659983
1,0-MoSe-Au-1,-0.38157958,-2.575787856,1.5858,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.585764931,11.065341,0,2.698435269,4.172831167,5.540942111,1.065341,0.289,0.96659983
2,0-MoSe-Au-1,1.31129986,-2.573060634,2.117333333,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.182099204,6.228574333,0,2.03497154,1.138242276,2.734385449,2.228574333,1.275,0.96659983
3,0-MoSe-Au-1,1.39903247,-1.979051203,1.9141,4.333333333,8.866,1.595,2.42,3,9.871299744,9.871299744,84.38773118,5.313158275,8.651898333,0,-4.528105678,8.318046335,1.808080449,4.318565,0.425,0.96659983
4,0-MoSe-Au-1,1.34592937,-2.494719367,2.0093,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,5.808989572,6.232285333,0,-1.643758973,6.648273976,2.5901507,2.232285333,1.275,0.96659983
5,0-MoSe-Au-1,1.54637891,-2.562125982,2.388033333,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.033530708,6.225339667,0,3.292397903,0.955352493,3.00244482,2.225339667,1.275,0.96659983
6,0-MoSe-Au-1,1.28430348,-2.528139465,2.004166667,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,5.811976747,6.255869333,0,8.23020343,0.947564222,2.574782775,2.255869333,1.275,0.96659983
7,0-MoSe-Au-1,-0.3797486,-2.575787856,1.585,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.584926515,11.065341,0,3.750529569,4.309391109,5.52403716,1.065341,0.289,0.96659983
8,0-MoSe-Au-1,1.49456579,-2.493956584,1.5183,4,9.753,2.02,2.55,1,9.871299744,9.871299744,84.38773118,5.040643226,6.268803,0,-1.64552982,4.6552755,3.15522971,2.268803,1.275,0.96659983
9,0-MoSe-Au-1,-0.06174343,-2.575787856,1.5832,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.583118118,11.065341,0,3.291145658,3.799074979,5.533044019,1.065341,0.289,0.96659983
10,0-MoSe-Au-1,-0.38292578,-2.575787856,1.5851,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.585004305,11.065341,0,2.4261392,3.922545919,5.556938772,1.065341,0.289,0.96659983
11,0-MoSe-Au-1,-0.38110199,-2.575787856,1.5854,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.585397133,11.065341,0,2.22068993,2.409208299,5.546825211,1.065341,0.289,0.96659983
12,0-MoSe-Au-1,1.34343819,-2.573060634,2.106066667,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.799610917,6.228574333,0,1.655940659,0.535152861,2.707354757,2.228574333,1.275,0.96659983
13,0-MoSe-Au-1,1.31041182,-2.573060634,2.1153,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.194500083,6.228574333,0,2.037108087,1.117148027,2.732984914,2.228574333,1.275,0.96659983
14,0-MoSe-Au-1,1.34390481,-2.494719367,2.111633333,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,5.581699644,6.232285333,0,-1.660473203,6.236103828,2.723376264,2.232285333,1.275,0.96659983
15,0-MoSe-Au-2,1.11789487,-2.492234432,2.116133333,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.194081177,6.219797333,0,-2.044714961,6.813624808,2.732128761,2.219797333,1.275,0.96659983
16,0-MoSe-Au-2,1.27232498,-2.563712713,2.139866667,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.303476786,6.217610333,0,1.645164747,6.179579463,2.766903492,2.217610333,1.275,0.96659983
17,0-MoSe-Au-2,-0.57403237,-2.517909616,1.585,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.584920046,11.109331,0,2.273045694,2.481122115,5.551436938,1.109331,0.289,0.96659983
18,0-MoSe-Au-2,-0.57421443,-2.517909616,1.5857,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.585671395,11.109331,0,0.994068517,2.48709984,5.554230285,1.109331,0.289,0.96659983
19,0-MoSe-Au-2,-0.57518565,-2.517909616,1.5847,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.584662323,11.109331,0,2.57779402,4.043704134,5.555107977,1.109331,0.289,0.96659983
20,0-MoSe-Au-2,-0.57304794,-2.517909616,1.5851,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.585017712,11.109331,0,1.05969024,2.501401118,5.535945275,1.109331,0.289,0.96659983
21,0-MoSe-Au-2,1.11809705,-2.492234432,2.117233333,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.209083329,6.219797333,0,-2.036926132,6.828793024,2.734982129,2.219797333,1.275,0.96659983
22,0-MoSe-Au-2,1.32570491,-2.562599162,2.106366667,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,4.175961577,6.198248667,0,4.941780087,0.534832879,2.711015094,2.198248667,1.275,0.96659983
23,0-MoSe-Au-2,1.11841095,-2.492234432,2.115733333,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.197721857,6.219797333,0,-1.691400824,6.2212298,2.732604161,2.219797333,1.275,0.96659983
24,0-MoSe-Au-2,1.30251152,-2.502032006,1.5188,4,9.753,2.02,2.55,1,9.871299744,9.871299744,84.38773118,5.020422877,6.191058,0,6.588753502,1.71207475,3.147202149,2.191058,1.275,0.96659983
25,0-MoSe-Au-2,1.47695387,-2.48798524,1.5149,4,9.753,2.02,2.55,1,9.871299744,9.871299744,84.38773118,3.860951645,6.217999,0,-1.67852629,4.76916077,3.154808175,2.217999,1.275,0.96659983
26,0-MoSe-Au-2,-0.26203466,-2.517909616,1.5804,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.580330299,11.109331,0,1.645486489,2.849430829,5.324168356,1.109331,0.289,0.96659983
27,0-MoSe-Au-2,1.27228591,-2.563712713,2.141166667,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,3.289840355,6.217610333,0,1.651640177,6.173178884,2.7661401,2.217610333,1.275,0.96659983
28,0-MoSe-Au-2,1.32891462,-2.563712713,2.099666667,4,9.753,2.02,2.55,3,9.871299744,9.871299744,84.38773118,4.160418037,6.217610333,0,1.290919102,6.843209683,2.701967708,2.217610333,1.275,0.96659983
29,0-MoSe-Au-2,-0.57712556,-2.517909616,1.5863,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.586224639,11.109331,0,2.699071387,2.763501255,5.580551488,1.109331,0.289,0.96659983
30,0-MoSe-Au-2,-0.57430101,-2.517909616,1.586,10,9.225,2.309,2.54,1,9.871299744,9.871299744,84.38773118,1.585990494,11.109331,0,1.02006526,2.441392291,5.554155826,1.109331,0.289,0.96659983
